120	PO1                           	000001	TEST1
120	PO1                           	000002	TEST2
120	PO1                           	000003	TEST3
120	PO2                           	000001	TEST12
120	PO2                           	000002	TEST22
120	PO2                           	000003	TEST32
120	PO3                           	000001	TEST13
120	PO3                           	000002	TEST23
120	PO3                           	000003	TEST33
120	PO4                           	000001	三、质量要求、技术指标
120	PO4                           	000002	3.1 品质要求
120	PO4                           	000003	3.1.1 颜色（自然光下）、品质、手感按甲方确认的执行，双方确认后封存确认样。
120	PO4                           	000004	3.1.2 乙方的产品须确保甲方使用该产品制作的成衣达到成衣的国家标准一等品等级标准，若无一等品等级标准的，则须达到成衣国家标准合格品等级标准。
120	PO4                           	000005	3.2 匹长要求：每匹不低于30米（30米以下长度允许每千米不超过2匹）。
120	PO4                           	000006	3.3包装要求：卷装（单卷独立包装），封塑料袋，外套蛇皮袋。每卷外包装上必须按甲方要求贴上相应的条形码，并在条形码规定的位置写上匹长、包号（需连续不能重复）。
120	PO4                           	000007	3.4 质量检验：
120	PO4                           	000008	3.4.1 乙方的产品工艺按双方确认样及合同要求的品质作为质量验收标准，其他品质按照甲方用相应面料制作的成衣的检测标准进行检测。测试项目按照相应的成衣的国家标准检测，若无国家标准的按照相应的行业标准检测，既无国家标准又无行业标准的按照双方约定的确认样检测；
120	PO4                           	000009	3.4.2在生产过程中，若出现工艺质量问题，乙方须无条件按甲方要求整改，确保产品质量；无法整改的，需由甲方书面确认其问题程度后制定解决与处罚方案且乙方须无条件接受；
120	PO4                           	000010	3.5 在出货前3日乙方需提供产品货样每色各3米，在出货前乙方给甲方提供由甲方指定测试机构出具的符合国标GB18401的测试报告,如因成份有误造成洗唛、吊牌出错的责任由乙方承担。
120	PO4                           	000011	四、货期
120	PO4                           	000012	4.1 乙方须根据合同要求保质保量如期交货；甲方可接受的溢短装范围是：单色<=1000米，±5%以内；1000米<单色<=3000米，±3%以内；单色>3000米，±2%，但不超过200米。
120	PO4                           	000013	4.2 如因甲方原因造成不能按期出货，双方另行协商货期，并经双方签字盖章生效。
120	PO4                           	000014	五、交货地点
120	PO4                           	000015	乙方负责运输并承担运费至甲方指定的仓库，具体地址：宁波市海曙区横街镇工业区宁波太平鸟服装制造有限公司仓库。
120	PO4                           	000016	六、风险转移
120	PO4                           	000017	6.1 产品的风险自乙方将产品运送至甲方指定仓库且经甲方验收合格进仓后转移至甲方。
120	PO4                           	000018	6.2 甲方对乙方多交产品不予接收部分的产品风险由乙方自行承担。
120	PO4                           	000019	七、验收
120	PO4                           	000020	7.1 货物验收进仓按【B】要求：
120	PO4                           	000021	A、由甲方质检人员到乙方的工厂进行抽查，抽查合格的甲方质检人员在发货清单上签字确认后，乙方方可发货，货物到仓后由甲方行进验货，验货合格的予以入库；
120	PO4                           	000022	B、乙方直接发货到甲方仓库，甲方安排人员验货，验货合格的予以入库；
120	PO4                           	000023	C、由甲方人员直接到乙方的工厂进行验货，验货合格的直接予以入库；
120	PO4                           	000024	7.2 异议：
120	PO4                           	000025	7.2.1 甲方在收到货15个工作日内或不开裁以前均可提出质量异议，如有问题，乙方必须进行及时改进；无法改进的，需由
120	PO4                           	000026	甲方书面确认其问题程度后指定解决与处罚方案且乙方须无条件接受。
120	PO4                           	000027	7.2.2 甲方在成衣加工时发现乙方面料有质量问题的，乙方须无条件配合甲方改进；无法改进的，需由甲方书面确认其问题
120	PO4                           	000028	程度后指定解决与处罚方案且乙方须无条件接受。
120	PO4                           	000029	八、付款方式及期限
120	PO4                           	000030	合同双方签字盖章生效后付定金20%货款；产品验收合格交货进仓且甲方收到乙方提供的正规合法有效的增值税专用发票（税率13%），甲方支付货款的30%，满60天甲方支付货款的20%，满90天甲方付清余款。
120	PO4                           	000031	九、违约责任
120	PO4                           	000032	9.1 若甲方制定的解决与处罚方案存在代销或本合同出现适用代销的情形时，按以下方式进行处理：
120	PO4                           	000033	9.1.1 代销：指甲方暂时接收乙方提供的不符合合同要求的产品，将该产品加工制作成衣，并代替乙方销售成衣的行为，但乙方享有该成衣的所有权并承担所有风险，且甲方有权随时将成衣退还给乙方。
120	PO4                           	000034	9.1.2 代销时，甲方有权暂不支付该订单剩余货款。
120	PO4                           	000035	9.1.3 甲方自生产完该批成衣12个月后仍未销售完毕的，甲方有权将剩余成衣退还给乙方。对于代销出去的成衣，甲方按双方协商确定的价格和乙方结算。
120	PO4                           	000036	9.2 若乙方预期知道不能按时交货，须提前7个工作日书面通知甲方并得到甲方书面同意且确定新的交货日期方可，否则按以下方式处理：
120	PO4                           	000037	9.2.1 每逾期1天甲方有权扣罚乙方总货款的1%作为赔偿；
120	PO4                           	000038	9.2.2 逾期超7日以上的，甲方有权将该款产品制作的成衣以代销方式处理；
120	PO4                           	000039	9.2.3 逾期超15日以上的，甲方有权解除合同，且乙方须在3日内退回双倍定金并赔偿由此给甲方造成的损失。
120	PO4                           	000040	9.3 多出部分由乙方自行运回处理（若有太平鸟字样、商标的，未经太平鸟女装同意，不得擅自转让）；若交货单色数量不足甲方允许接收范围的，按以下情况处理：
120	PO4                           	000041	9.3.1 数量少允许范围以上不满5%的，甲方有权扣罚乙方总货款的2%作为赔偿；
120	PO4                           	000042	9.3.2 数量少5%以上不满10%的，甲方有权扣罚乙方总货款的3%作为赔偿；
120	PO4                           	000043	9.3.3 按该款产品制作的成衣数量少于该款成衣合同约定数量15%的,乙方须与甲方协商确定补货货品的交货时间,且需双方书面确认。若乙方无法补货或超出规定时间交付补货产品的，甲方有权将按该款产品制作的成衣以代销方式处理。或者,甲方有权解除合同,且乙方须在3日
120	PO4                           	000044	9.4 甲方对乙方生产的产品有权派专人随时进行抽查、检验。未在甲方进行书面备案，乙方不得将甲方委托加工的产品外发到其他厂家进行生产加工，否则，甲方有权解除合同，且有权要求乙方承担【 合同总金额20% 】元的违约金并赔偿相应损失。
120	PO4                           	000045	9.5 如因乙方提供产品不符合同要求致成衣在销售过程中被顾客退回的，乙方需对甲方因此造成的损失进行赔偿。
120	PO4                           	000046	9.6 如因乙方提供货品不符合合同要求给甲方造成其他损失的，乙方须向甲方承担相应的赔偿责任。
120	PO4                           	000047	十、知识产权
120	PO4                           	000048	10.1 乙方必须在甲方书面授权的前提下，按合同约定进行涉及“太平鸟”系列品牌LOGO的生产和使用，不得擅自或超越授权范围的生产、使用；否则，一经发现，乙方必须承担【 合同总金额100% 】元的违约金，同时赔偿甲方因此所遭受的所有损失。
120	PO4                           	000049	10.2 对于甲方所提供的资料，乙方必须做到保密，不得向外输出，否则一经发现则必须承担【合同总金额100%】元的违约金，同时赔偿甲方因此所遭受的所有损失。
120	PO4                           	000050	十一、不可抗力
120	PO4                           	000051	10.1 本合同中，不可抗力是指不能预见、不能避免并不能克服的客观情况，包括：战争、火灾、洪水、台风、地震、政策变化或其它人力不可抗拒之事件。
120	PO4                           	000052	10.2 如果任何一方因不可抗力事件导致合同履行被迫停止或不得不推迟履行本合同，双方应协商解决合同的进一步履行问题。但遭受不可抗力的一方应采取所有合理措施，将不可抗力引致的延误及损失减至最小。
120	PO4                           	000053	10.3 受不可抗力影响的一方应将有关情况尽快通过电传或传真通知另一方。在不可抗力出现14天内，受影响的一方应提供一份有关权威机构出具的证明文件给对方以便其检验和确认。受影响的一方应在不可抗力终止或被排除后3日内通知对方不可抗力已终结或排除。
120	PO4                           	000054	10.4 如果不可抗力持续超过30天，双方应就合同执行问题进行友好协商，并尽快达成书面协议。如果未能达成书面协议，任何一方有权终止本合同。
120	PO4                           	000055	十二、独立条款
120	PO4                           	000056	为保证甲乙双方各自独立经营，乙方确认，乙方（如非自然人，则包括其实际控制人、股东、董事、监事、高级管理人员、核心技术人员、主要经办人员）与宁波太平鸟时尚服饰股份有限公司（以下简称“太平鸟”或“公司”）董事、监事、高级管理人员、核心技术人员或关键管理人员：
120	PO4                           	000057	12.1 □存在□不存在亲属关系（包括配偶、父母、年满18周岁的子女及其配偶、兄弟姐妹及其配偶，配偶的父母、兄弟姐妹，子女配偶的父母或其他关系密切 的亲属关系）或根据相关协议安排（包括但不限于口头约定、未公开协议）的其他利益关系如存在，具体为：【
120	PO4                           	000058	12.2 乙方承诺上述情况真实、完整、无遗漏。如乙方未如实告知甲方而取得本合同项下产品供应的，甲方一经发现，有权单方终止本合同并追究乙方的违约责任。
120	PO4                           	000059	十三、附则
120	PO4                           	000060	13.1 对本合同的任何修改必须经双方授权代表以书面形式签字确认或盖章后生效，授权代表必须为在合同上签字确认的授权代表。
120	PO4                           	000061	13.2 本合同所称“以上”包括本数，“不满”、“以内”不包括本数。
120	PO4                           	000062	13.3 在合同履行过程中发生争议的，由双方协商解决，协商无效后再按法定程序解决，由甲方所在地法院作为管辖法院。
120	PO4                           	000063	13.4 本合同一式贰份，甲方壹份，乙方壹份，经双方签字盖章后生效。
120	测试123                         	000001	张三
120	测试123                         	000002	李四
120	测试123                         	000003	123FEF
120	测试123                         	000004	FEAFEF
120	测试1234                        	000001	A
120	测试1234                        	000002	BC
120	测试1234                        	000003	DEF
120	测试1234                        	000004	GHIJ
